case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold,gdelt_article_count,gdelt_avg_tone,gdelt_negative_share
ACLED_CASE_00220,US-Russia,2016-07,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00221,US-Russia,2016-08,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00222,US-Russia,2016-09,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00223,US-Russia,2016-10,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00224,US-Russia,2016-11,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00225,US-Russia,2016-12,train,0,0,0,0,0,0,0.0,0.0,1.0720928639509697,0.0,0.36563040950034,0.0,0.0,18695110842000.0,1276786350881.14,639856443000.0,69245294552.8466,26.6079620604584,46.5181198396096,0.0,0,0.279610322310827,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00226,US-Russia,2017-01,train,0,0,0,0,0,0,0.0,0.0,1.0701847903289017,0.0,0.3709477261242584,0.0,0.0,19477336549000.0,1574199360089.0,646752927000.0,66913033536.7831,27.3130208877206,46.8765243371311,0.0,0,0.279591105705008,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00227,US-Russia,2017-02,train,0,0,0,0,0,0,0.0,0.0,1.0701847903289017,0.0,0.3709477261242584,0.0,0.0,19477336549000.0,1574199360089.0,646752927000.0,66913033536.7831,27.3130208877206,46.8765243371311,0.0,0,0.279591105705008,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00228,US-Russia,2017-03,train,0,0,0,0,0,0,0.0,0.0,1.0701847903289017,0.0,0.3709477261242584,0.0,0.0,19477336549000.0,1574199360089.0,646752927000.0,66913033536.7831,27.3130208877206,46.8765243371311,0.0,0,0.279591105705008,0,0.0,324.95000000000005,0,0.0,0.0
ACLED_CASE_00229,US-Russia,2017-04,train,0,0,0,0,0,0,0.0,0.0,1.0701847903289017,0.0,0.3709477261242584,0.0,0.0,19477336549000.0,1574199360089.0,646752927000.0,66913033536.7831,27.3130208877206,46.8765243371311,0.0,0,0.279591105705008,0,0.0,324.95000000000005,0,0.0,0.0
